seq,road_id,edges,road_no,partition
199,205,[np.float64(205.0)],24,1
200,207,[np.float64(207.0)],36,1
201,208,[np.float64(208.0)],49,1
202,209,"[np.float64(209.0), np.float64(209.0)]",57,1
203,210,[np.float64(210.0)],17,1
204,211,[np.float64(211.0)],22,1
205,212,[np.float64(212.0)],19,2
206,213,[np.float64(213.0)],19,2
207,240,[np.float64(240.0)],14,1
208,241,[np.float64(241.0)],19,1
209,214,[np.float64(214.0)],46,0
210,249,[np.float64(249.0)],19,1
211,250,[np.float64(250.0)],24,1
212,251,[np.float64(251.0)],19,2
213,252,"[np.float64(252.0), np.float64(252.0)]",19,1
214,362,[np.float64(362.0)],23,0
215,215,[np.float64(215.0)],46,0
216,216,[np.float64(216.0)],25,2
217,217,[np.float64(217.0)],4,2
218,218,[np.float64(218.0)],17,1
219,219,"[np.float64(219.0), np.float64(219.0)]",27,1
220,220,"[np.float64(220.0), np.float64(220.0)]",20,1
221,221,"[np.float64(221.0), np.float64(221.0)]",24,2
222,222,[np.float64(222.0)],25,2
223,223,[np.float64(223.0)],25,2
224,224,[np.float64(224.0)],4,2
225,225,"[np.float64(225.0), np.float64(225.0)]",32,2
226,226,[np.float64(226.0)],25,2
227,227,[np.float64(227.0)],22,1
228,228,[np.float64(228.0)],28,1
229,229,"[np.float64(229.0), np.float64(229.0)]",25,2
230,230,[np.float64(230.0)],34,2
231,231,[np.float64(231.0)],19,1
232,232,[np.float64(232.0)],12,1
233,233,"[np.float64(233.0), np.float64(233.0)]",40,2
234,234,[np.float64(234.0)],40,0
235,235,[np.float64(235.0)],18,1
236,236,[np.float64(236.0)],19,1
237,237,[np.float64(237.0)],16,1
238,238,"[np.float64(238.0), np.float64(238.0)]",35,0
239,239,[np.float64(239.0)],40,0
240,243,[np.float64(243.0)],23,2
241,244,[np.float64(244.0)],46,2
242,245,[np.float64(245.0)],19,1
243,246,[np.float64(246.0)],28,1
244,247,[np.float64(247.0)],19,2
245,248,[np.float64(248.0)],4,2
246,253,"[np.float64(253.0), np.float64(253.0)]",22,1
247,254,[np.float64(254.0)],19,2
248,255,"[np.float64(255.0), np.float64(255.0)]",42,2
249,256,[np.float64(256.0)],19,2
250,257,"[np.float64(257.0), np.float64(257.0)]",31,0
251,258,[np.float64(258.0)],39,0
252,259,"[np.float64(259.0), np.float64(259.0)]",37,0
253,260,[np.float64(260.0)],40,0
254,261,"[np.float64(261.0), np.float64(261.0)]",19,2
255,262,[np.float64(262.0)],34,2
256,263,[np.float64(263.0)],7,3
257,264,[np.float64(264.0)],17,2
258,265,[np.float64(265.0)],23,2
259,266,[np.float64(266.0)],17,2
260,268,[np.float64(268.0)],46,0
261,269,[np.float64(269.0)],23,1
262,270,"[np.float64(270.0), np.float64(270.0)]",38,3
263,271,[np.float64(271.0)],4,0
264,272,[np.float64(272.0)],23,2
265,273,[np.float64(273.0)],44,2
266,274,[np.float64(274.0)],41,0
267,275,"[np.float64(275.0), np.float64(275.0), np.float64(275.0)]",24,1
268,276,[np.float64(276.0)],30,0
269,277,[np.float64(277.0)],4,0
270,278,[np.float64(278.0)],46,2
271,279,[np.float64(279.0)],42,2
272,281,[np.float64(281.0)],23,1
273,282,[np.float64(282.0)],18,1
274,283,[np.float64(283.0)],23,1
275,284,[np.float64(284.0)],50,2
276,285,[np.float64(285.0)],26,1
277,286,[np.float64(286.0)],23,2
278,287,[np.float64(287.0)],17,2
279,288,[np.float64(288.0)],4,2
280,289,"[np.float64(289.0), np.float64(289.0)]",37,2
281,290,[np.float64(290.0)],14,2
282,292,"[np.float64(292.0), np.float64(292.0)]",33,1
283,293,[np.float64(293.0)],32,1
284,294,[np.float64(294.0)],17,2
285,295,"[np.float64(295.0), np.float64(295.0)]",52,2
286,296,[np.float64(296.0)],56,2
287,297,[np.float64(297.0)],23,2
288,298,"[np.float64(298.0), np.float64(298.0)]",33,1
289,299,"[np.float64(299.0), np.float64(299.0)]",28,1
290,300,[np.float64(300.0)],23,2
291,301,[np.float64(301.0)],3,0
292,302,[np.float64(302.0)],2,0
293,303,[np.float64(303.0)],25,0
294,304,[np.float64(304.0)],17,2
295,305,[np.float64(305.0)],34,2
296,306,[np.float64(306.0)],25,0
297,307,[np.float64(307.0)],3,0
298,308,[np.float64(308.0)],4,0
299,309,[np.float64(309.0)],17,2
300,310,"[np.float64(310.0), np.float64(310.0)]",54,2
301,311,[np.float64(311.0)],30,0
302,312,[np.float64(312.0)],39,1
303,313,[np.float64(313.0)],38,3
304,314,[np.float64(314.0)],50,2
305,315,[np.float64(315.0)],3,0
